COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,Year,Value
Argentina,"Borrowers, Commercial banks",Number,2004.0,4669697.0
Argentina,"Borrowers, Commercial banks",Number,2005.0,5382939.0
Argentina,"Borrowers, Commercial banks",Number,2006.0,6400493.0
Argentina,"Borrowers, Commercial banks",Number,2007.0,7441164.0
Argentina,"Borrowers, Commercial banks",Number,2008.0,8407430.0
Argentina,"Borrowers, Commercial banks",Number,2009.0,8837249.0
Argentina,"Borrowers, Commercial banks",Number,2010.0,9193419.0
Argentina,"Borrowers, Commercial banks",Number,2011.0,9986480.0
Argentina,"Borrowers, Commercial banks",Number,2012.0,10792553.0
Argentina,"Borrowers, Commercial banks",Number,2013.0,10646062.0
Argentina,"Borrowers, Commercial banks",Number,2014.0,11143655.0
Argentina,"Borrowers, Commercial banks",Number,2015.0,11677777.0
Argentina,"Borrowers, Commercial banks",Number,2016.0,12412741.0
Argentina,"Borrowers, Commercial banks",Number,2017.0,12652662.0
Argentina,"Borrowers, Commercial banks",Number,2018.0,13112302.0
Argentina,"Borrowers, Commercial banks",Number,2019.0,13038556.0
Argentina,"Borrowers, Commercial banks",Number,2020.0,12740794.0
Argentina,"Borrowers, Commercial banks",Number,2021.0,12758835.0
Argentina,"Borrowers, Commercial banks",Number,2022.0,13721248.0
Argentina,"Borrowers, Commercial banks",Number,2023.0,14231477.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2004.0,76597.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2005.0,110562.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2006.0,158679.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2007.0,214196.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2008.0,260378.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2009.0,247001.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2010.0,237128.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2011.0,208298.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2012.0,225250.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2013.0,27336.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2014.0,34928.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2015.0,34170.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2016.0,25463.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2017.0,14750.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2018.0,25473.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2019.0,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2020.0,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2021.0,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2022.0,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2023.0,
Argentina,"Branches excluding headquarters, Commercial banks",Number,2004.0,3669.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2005.0,3669.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2006.0,3720.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2007.0,3762.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2008.0,3796.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2009.0,3809.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2010.0,3869.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2011.0,3957.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2012.0,4037.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2013.0,4098.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2014.0,4147.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2015.0,4215.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2016.0,4330.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2017.0,4414.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2018.0,4449.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2019.0,4492.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2020.0,4466.0
