countryname,year,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
Argentina,1996,0.0755526423454285,0.190395042300224,9,54.2713584899902,43.2160797119141,62.3115577697754
Belize,1996,0.084681548178196,0.348834574222565,3,54.773868560791,36.1809043884277,68.3417053222656
Bolivia,1996,-0.261528313159943,0.207433357834816,7,42.7135696411133,32.1608047485352,54.2713584899902
Brazil,1996,-0.223502203822136,0.190395042300224,9,44.2211036682129,33.668342590332,55.2763824462891
Chile,1996,1.11373817920685,0.190395042300224,9,85.4271392822266,71.3567810058594,89.9497451782227
Colombia,1996,-0.75183779001236,0.190395042300224,9,25.6281414031982,16.582914352417,38.1909561157227
Costa Rica,1996,0.618176877498627,0.199607864022255,8,68.3417053222656,60.8040199279785,79.8994979858398
Cuba,1996,-1.13681089878082,0.212429106235504,6,16.0804023742676,6.03015089035034,24.6231155395508
Dominican Republic,1996,-0.522590637207031,0.212429106235504,6,34.6733665466309,21.608039855957,46.2311553955078
Ecuador,1996,-0.44970777630806,0.207433357834816,7,38.1909561157227,24.6231155395508,47.7386932373047
El Salvador,1996,-0.870225965976715,0.199607864022255,8,22.1105518341064,13.0653266906738,33.668342590332
Guatemala,1996,-1.12648820877075,0.199607864022255,8,16.582914352417,6.03015089035034,23.6180896759033
Guyana,1996,-0.203850328922272,0.299597144126892,5,44.7236175537109,28.1407032012939,60.8040199279785
Haiti,1996,-1.3873907327652,0.299597144126892,5,8.04020118713379,0.502512574195862,21.1055278778076
Honduras,1996,-0.9293492436409,0.199607864022255,8,21.1055278778076,10.5527639389038,32.1608047485352
Mexico,1996,-0.726646363735199,0.190395042300224,9,27.1356792449951,17.5879402160645,38.1909561157227
Nicaragua,1996,-0.515926837921143,0.199607864022255,8,35.1758804321289,22.1105518341064,45.226131439209
Panama,1996,-0.16697995364666,0.207433357834816,7,46.7336692810059,35.1758804321289,57.7889442443848
Paraguay,1996,-0.663562595844269,0.207433357834816,7,29.1457290649414,18.0904521942139,40.2010040283203
Peru,1996,-0.696724593639374,0.199607864022255,8,28.1407032012939,17.5879402160645,39.1959800720215
Puerto Rico,1996,0.960634410381317,0.425513386726379,1,81.4070358276367,59.7989959716797,94.9748764038086
Suriname,1996,-0.0809926018118858,0.299597144126892,5,48.2412071228027,32.6633148193359,62.3115577697754
Uruguay,1996,0.561770856380463,0.207433357834816,7,65.8291473388672,59.2964820861816,78.8944702148437
Argentina,1998,-0.0388815775513649,0.192366451025009,9,50.5,41.5,60
Belize,1998,-0.106160081923008,0.320545703172684,3,48.5,32.5,63
Bolivia,1998,-0.227260559797287,0.214145958423615,7,44,33,55
Brazil,1998,-0.202992081642151,0.192366451025009,9,45,35,55
Chile,1998,1.09760177135468,0.192366451025009,9,84.5,72,91
Colombia,1998,-0.662920475006104,0.192366451025009,9,31,18.May,41.5
Costa Rica,1998,0.633012652397156,0.214145958423615,7,69,60,82.5
Cuba,1998,-1.04586327075958,0.221403405070305,6,16.May,7,30
Dominican Republic,1998,-0.576960265636444,0.221403405070305,6,33.5,18.May,44.5
Ecuador,1998,-0.539550304412842,0.214145958423615,7,34,22,45
El Salvador,1998,-0.690760374069214,0.214145958423615,7,29,16.May,41.5
Guatemala,1998,-1.04127037525177,0.214145958423615,7,17,7,29
Guyana,1998,-0.367153853178024,0.284045487642288,5,41.5,24,55
Haiti,1998,-1.42518937587738,0.284045487642288,5,06.May,0.5,18.May
Honduras,1998,-0.885578393936157,0.214145958423615,7,22.May,10.May,34.5
Mexico,1998,-0.532132267951965,0.192366451025009,9,35,23.May,44.5
Nicaragua,1998,-0.605091035366058,0.214145958423615,7,33,18.May,42.5
Panama,1998,-0.130363434553146,0.214145958423615,7,47,35.5,58.5
Paraguay,1998,-0.834110796451569,0.214145958423615,7,24,12.May,35.5
Peru,1998,-0.738637685775757,0.200127080082893,8,28,16,38.5
Puerto Rico,1998,0.957083582878113,0.394628912210464,1,81.5,61,93
Suriname,1998,-0.0041345036588609,0.284045487642288,5,51,36,64
Uruguay,1998,0.617432355880737,0.214145958423615,7,67.5,60,82
Argentina,2000,-0.214404493570328,0.160872712731361,9,43.2835807800293,36.8159217834473,51.7412948608398
Belize,2000,0.0983268246054649,0.275541752576828,3,54.2288551330566,39.8009948730469,65.1741256713867
Bolivia,2000,-0.368222206830978,0.167917758226395,8,39.8009948730469,32.3383102416992,48.756217956543
Brazil,2000,-0.244871854782104,0.160435691475868,10,42.2885589599609,35.3233833312988,51.7412948608398
Chile,2000,1.26092338562012,0.160872712731361,9,86.5671615600586,83.0845794677734,92.0398025512695
Colombia,2000,-0.925037920475006,0.160435691475868,10,22.8855724334717,12.4378108978271,31.8407955169678
Costa Rica,2000,0.537079811096191,0.167420968413353,9,64.6766204833984,59.2039794921875,71.6417922973633
Cuba,2000,-1.04984867572784,0.183204844594002,6,18.4079608917236,7.96019887924194,28.8557205200195
Dominican Republic,2000,-0.676537394523621,0.182560175657272,7,31.343282699585,21.8905467987061,39.3034820556641
Ecuador,2000,-0.666360259056091,0.167917758226395,8,31.8407955169678,21.8905467987061,38.8059692382812
El Salvador,2000,-0.803453266620636,0.167420968413353,9,26.8656711578369,16.9154224395752,33.8308448791504
Guatemala,2000,-0.885791599750519,0.167420968413353,9,24.3781089782715,13.4328355789185,32.3383102416992
Guyana,2000,-0.423614680767059,0.254057615995407,5,38.3084564208984,26.3681583404541,51.243782043457
Haiti,2000,-1.45503640174866,0.252346783876419,6,3.98009943962097,0.497512429952621,18.4079608917236
Honduras,2000,-0.998041212558746,0.167420968413353,9,19.9004974365234,10.4477615356445,29.3532333374023
Mexico,2000,-0.42650955915451,0.160435691475868,10,37.8109436035156,30.8457717895508,47.2636833190918
Nicaragua,2000,-0.862790763378143,0.167917758226395,8,26.3681583404541,14.4278602600098,33.3333320617676
Panama,2000,-0.187658607959747,0.167917758226395,8,44.7761192321777,37.3134346008301,52.7363166809082
Paraguay,2000,-0.989421188831329,0.167917758226395,8,21.3930339813232,10.4477615356445,30.348258972168
Peru,2000,-0.718046724796295,0.167917758226395,8,29.8507461547852,20.3980102539062,37.3134346008301
Puerto Rico,2000,0.970597624778748,0.328637719154358,1,82.5870666503906,63.1840782165527,92.0398025512695
Suriname,2000,-0.0384254194796085,0.254057615995407,5,50.2487564086914,37.3134346008301,62.6865653991699
Uruguay,2000,0.556891262531281,0.167917758226395,8,66.1691513061523,60.1990051269531,72.6368179321289
Argentina,2002,-0.761098086833954,0.174584195017815,10,27.3631839752197,16.9154224395752,38.3084564208984
Belize,2002,-0.0455109514296055,0.287872940301895,4,52.2388076782227,36.8159217834473,63.1840782165527
Bolivia,2002,-0.378112554550171,0.183887630701065,10,40.2985076904297,31.343282699585,49.7512435913086
