COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Borrowers, Commercial banks",Number,2004,4669697.0
Argentina,"Borrowers, Commercial banks",Number,2005,5382939.0
Argentina,"Borrowers, Commercial banks",Number,2006,6400493.0
Argentina,"Borrowers, Commercial banks",Number,2007,7441164.0
Argentina,"Borrowers, Commercial banks",Number,2008,8407430.0
Argentina,"Borrowers, Commercial banks",Number,2009,8837249.0
Argentina,"Borrowers, Commercial banks",Number,2010,9193419.0
Argentina,"Borrowers, Commercial banks",Number,2011,9986480.0
Argentina,"Borrowers, Commercial banks",Number,2012,10792553.0
Argentina,"Borrowers, Commercial banks",Number,2013,10646062.0
Argentina,"Borrowers, Commercial banks",Number,2014,11143655.0
Argentina,"Borrowers, Commercial banks",Number,2015,11677777.0
Argentina,"Borrowers, Commercial banks",Number,2016,12412741.0
Argentina,"Borrowers, Commercial banks",Number,2017,12652662.0
Argentina,"Borrowers, Commercial banks",Number,2018,13112302.0
Argentina,"Borrowers, Commercial banks",Number,2019,13038556.0
Argentina,"Borrowers, Commercial banks",Number,2020,12740794.0
Argentina,"Borrowers, Commercial banks",Number,2021,12758835.0
Argentina,"Borrowers, Commercial banks",Number,2022,13721248.0
Argentina,"Borrowers, Commercial banks",Number,2023,14231477.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2004,76597.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2005,110562.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2006,158679.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2007,214196.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2008,260378.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2009,247001.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2010,237128.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2011,208298.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2012,225250.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2013,27336.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2014,34928.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2015,34170.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2016,25463.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2017,14750.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2018,25473.0
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2019,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2020,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2021,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2022,
Argentina,"Borrowers, Credit unions and credit cooperatives",Number,2023,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2004,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2005,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2006,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2007,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2008,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2009,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2010,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2011,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2012,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2013,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2014,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2015,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2016,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2017,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2018,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2019,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2020,
Argentina,"Borrowers, Deposit taking microfinance institutions",Number,2021,
