country,year,gii_value
Argentina,2023,70.0
Belize,2023,110.0
Brazil,2023,96.0
Chile,2023,33.0
Colombia,2023,98.0
Costa Rica,2023,55.0
Cuba,2023,75.0
Dominican Republic,2023,106.0
Ecuador,2023,88.0
El Salvador,2023,92.0
Guatemala,2023,121.0
Guyana,2023,109.0
Haiti,2023,165.0
Honduras,2023,112.0
Mexico,2023,88.0
Nicaragua,2023,103.0
Panama,2023,94.0
Paraguay,2023,104.0
Peru,2023,83.0
Suriname,2023,97.0
Uruguay,2023,56.0
Argentina,1990,0.489
Belize,1990,
Brazil,1990,0.582
Chile,1990,0.508
Colombia,1990,
Costa Rica,1990,
Cuba,1990,
Dominican Republic,1990,0.574
Ecuador,1990,0.648
El Salvador,1990,0.536
Guatemala,1990,
Guyana,1990,
Haiti,1990,
Honduras,1990,
Mexico,1990,0.552
Nicaragua,1990,0.625
Panama,1990,0.539
Paraguay,1990,0.607
Peru,1990,0.569
Suriname,1990,
Uruguay,1990,0.426
Argentina,1991,0.452
Belize,1991,
Brazil,1991,0.577
Chile,1991,0.504
Colombia,1991,
Costa Rica,1991,
Cuba,1991,
Dominican Republic,1991,0.573
Ecuador,1991,0.64
El Salvador,1991,0.531
Guatemala,1991,
Guyana,1991,
Haiti,1991,
Honduras,1991,
Mexico,1991,0.51
Nicaragua,1991,0.62
Panama,1991,0.519
Paraguay,1991,0.607
Peru,1991,0.576
Suriname,1991,
Uruguay,1991,0.429
Argentina,1992,0.45
Belize,1992,
Brazil,1992,0.561
Chile,1992,0.491
Colombia,1992,
Costa Rica,1992,
Cuba,1992,
Dominican Republic,1992,0.565
Ecuador,1992,0.629
El Salvador,1992,0.545
Guatemala,1992,
Guyana,1992,
Haiti,1992,
Honduras,1992,
Mexico,1992,0.505
Nicaragua,1992,0.62
Panama,1992,0.517
Paraguay,1992,0.603
Peru,1992,0.579
Suriname,1992,
Uruguay,1992,0.426
Argentina,1993,0.442
Belize,1993,
Brazil,1993,0.557
Chile,1993,0.486
Colombia,1993,
Costa Rica,1993,
Cuba,1993,
Dominican Republic,1993,0.613
Ecuador,1993,0.617
El Salvador,1993,0.536
Guatemala,1993,
Guyana,1993,
Haiti,1993,
Honduras,1993,
Mexico,1993,0.498
Nicaragua,1993,0.617
Panama,1993,0.513
Paraguay,1993,0.599
Peru,1993,0.602
Suriname,1993,
Uruguay,1993,0.426
Argentina,1994,0.444
Belize,1994,0.54
Brazil,1994,0.553
Chile,1994,0.483
Colombia,1994,
Costa Rica,1994,
Cuba,1994,
Dominican Republic,1994,0.565
Ecuador,1994,0.607
El Salvador,1994,0.526
Guatemala,1994,0.654
Guyana,1994,
Haiti,1994,
Honduras,1994,
Mexico,1994,0.492
Nicaragua,1994,0.616
Panama,1994,0.509
Paraguay,1994,0.596
Peru,1994,0.571
Suriname,1994,
Uruguay,1994,0.426
Argentina,1995,0.442
Belize,1995,0.532
Brazil,1995,0.543
Chile,1995,0.477
Colombia,1995,
Costa Rica,1995,
Cuba,1995,
Dominican Republic,1995,0.563
Ecuador,1995,0.599
El Salvador,1995,0.523
Guatemala,1995,0.646
Guyana,1995,
Haiti,1995,
Honduras,1995,
Mexico,1995,0.485
Nicaragua,1995,0.613
Panama,1995,0.506
Paraguay,1995,0.581
Peru,1995,0.564
Suriname,1995,
Uruguay,1995,0.422
Argentina,1996,0.429
Belize,1996,0.526
Brazil,1996,0.536
Chile,1996,0.469
Colombia,1996,
Costa Rica,1996,
Cuba,1996,
Dominican Republic,1996,0.56
Ecuador,1996,0.592
El Salvador,1996,0.515
Guatemala,1996,0.638
Guyana,1996,
Haiti,1996,
Honduras,1996,
Mexico,1996,0.483
Nicaragua,1996,0.608
Panama,1996,0.498
Paraguay,1996,0.578
Peru,1996,0.546
Suriname,1996,
Uruguay,1996,0.419
Argentina,1997,0.429
Belize,1997,0.523
Brazil,1997,0.53
Chile,1997,0.465
Colombia,1997,
Costa Rica,1997,
Cuba,1997,
Dominican Republic,1997,0.553
Ecuador,1997,0.59
El Salvador,1997,0.5
Guatemala,1997,0.628
Guyana,1997,
Haiti,1997,
Honduras,1997,
Mexico,1997,0.477
Nicaragua,1997,0.6
Panama,1997,0.498
Paraguay,1997,0.577
Peru,1997,0.534
Suriname,1997,
Uruguay,1997,0.415
Argentina,1998,0.425
Belize,1998,0.527
Brazil,1998,0.522
Chile,1998,0.44
Colombia,1998,
Costa Rica,1998,
Cuba,1998,
Dominican Republic,1998,0.532
Ecuador,1998,0.498
El Salvador,1998,0.482
Guatemala,1998,0.617
Guyana,1998,
Haiti,1998,
Honduras,1998,0.549
Mexico,1998,0.459
Nicaragua,1998,0.599
Panama,1998,0.496
Paraguay,1998,0.579
Peru,1998,0.525
Suriname,1998,
Uruguay,1998,0.41
Argentina,1999,0.421
Belize,1999,0.514
Brazil,1999,0.514
Chile,1999,0.438
Colombia,1999,
Costa Rica,1999,
Cuba,1999,
Dominican Republic,1999,0.52
Ecuador,1999,0.499
El Salvador,1999,0.468
Guatemala,1999,0.634
Guyana,1999,
Haiti,1999,
Honduras,1999,0.542
Mexico,1999,0.454
Nicaragua,1999,0.597
Panama,1999,0.494
Paraguay,1999,0.557
Peru,1999,0.505
Suriname,1999,
Uruguay,1999,0.381
Argentina,2000,0.426
Belize,2000,0.508
Brazil,2000,0.506
Chile,2000,0.433
Colombia,2000,
Costa Rica,2000,0.443
Cuba,2000,
Dominican Republic,2000,0.507
Ecuador,2000,0.511
El Salvador,2000,0.491
Guatemala,2000,0.584
Guyana,2000,
Haiti,2000,
Honduras,2000,0.539
Mexico,2000,0.459
Nicaragua,2000,0.569
Panama,2000,0.495
Paraguay,2000,0.544
Peru,2000,0.497
Suriname,2000,
Uruguay,2000,0.379
Argentina,2001,0.425
Belize,2001,0.505
Brazil,2001,0.495
Chile,2001,0.435
Colombia,2001,
Costa Rica,2001,0.408
Cuba,2001,
Dominican Republic,2001,0.495
Ecuador,2001,0.498
El Salvador,2001,0.487
Guatemala,2001,0.575
Guyana,2001,
Haiti,2001,0.593
Honduras,2001,0.535
Mexico,2001,0.46
Nicaragua,2001,0.573
Panama,2001,0.494
Paraguay,2001,0.541
Peru,2001,0.459
Suriname,2001,
Uruguay,2001,0.367
Argentina,2002,0.396
Belize,2002,0.492
Brazil,2002,0.494
Chile,2002,0.417
Colombia,2002,0.502
Costa Rica,2002,0.367
Cuba,2002,
Dominican Republic,2002,0.485
Ecuador,2002,0.494
El Salvador,2002,0.466
Guatemala,2002,0.572
Guyana,2002,
Haiti,2002,0.588
Honduras,2002,0.566
Mexico,2002,0.46
Nicaragua,2002,0.526
Panama,2002,0.48
Paraguay,2002,0.531
Peru,2002,0.454
Suriname,2002,
Uruguay,2002,0.363
Argentina,2003,0.397
Belize,2003,0.509
Brazil,2003,0.471
Chile,2003,0.41
Colombia,2003,0.491
Costa Rica,2003,0.365
Cuba,2003,
Dominican Republic,2003,0.488
Ecuador,2003,0.486
El Salvador,2003,0.455
Guatemala,2003,0.572
Guyana,2003,
Haiti,2003,0.584
Honduras,2003,0.556
Mexico,2003,0.435
Nicaragua,2003,0.521
Panama,2003,0.479
Paraguay,2003,0.528
Peru,2003,0.45
Suriname,2003,
Uruguay,2003,0.357
Argentina,2004,0.39
Belize,2004,0.493
Brazil,2004,0.47
Chile,2004,0.393
Colombia,2004,0.489
Costa Rica,2004,0.355
Cuba,2004,0.334
Dominican Republic,2004,0.491
Ecuador,2004,0.478
El Salvador,2004,0.448
Guatemala,2004,0.575
Guyana,2004,
Haiti,2004,0.589
Honduras,2004,0.538
Mexico,2004,0.433
Nicaragua,2004,0.524
Panama,2004,0.451
Paraguay,2004,0.515
Peru,2004,0.452
Suriname,2004,0.524
Uruguay,2004,0.352
Argentina,2005,0.375
Belize,2005,0.483
Brazil,2005,0.467
Chile,2005,0.379
Colombia,2005,0.488
Costa Rica,2005,0.344
Cuba,2005,0.333
Dominican Republic,2005,0.49
Ecuador,2005,0.477
El Salvador,2005,0.446
Guatemala,2005,0.573
Guyana,2005,
Haiti,2005,0.579
Honduras,2005,0.474
Mexico,2005,0.425
Nicaragua,2005,0.521
Panama,2005,0.439
Paraguay,2005,0.516
Peru,2005,0.448
Suriname,2005,0.495
Uruguay,2005,0.351
Argentina,2006,0.375
Belize,2006,0.468
Brazil,2006,0.466
Chile,2006,0.382
Colombia,2006,0.494
Costa Rica,2006,0.332
Cuba,2006,0.331
Dominican Republic,2006,0.481
Ecuador,2006,0.452
El Salvador,2006,0.415
Guatemala,2006,0.563
Guyana,2006,
Haiti,2006,0.612
Honduras,2006,0.479
Mexico,2006,0.43
Nicaragua,2006,0.528
Panama,2006,0.442
Paraguay,2006,0.513
Peru,2006,0.414
Suriname,2006,0.493
Uruguay,2006,0.349
Argentina,2007,0.374
Belize,2007,0.445
Brazil,2007,0.463
Chile,2007,0.376
Colombia,2007,0.495
Costa Rica,2007,0.334
Cuba,2007,0.331
Dominican Republic,2007,0.486
Ecuador,2007,0.451
El Salvador,2007,0.419
Guatemala,2007,0.541
Guyana,2007,
Haiti,2007,0.605
Honduras,2007,0.478
Mexico,2007,0.43
Nicaragua,2007,0.515
Panama,2007,0.44
