Country Name,year,Access to electricity (% of population) (lag 5),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+) (lag 5),"Commercial bank branches (per 100,000 adults) (lag 7)",Domestic credit to private sector (% of GDP) (lag 7),Individuals using the Internet (% of population) (lag 4),Mobile cellular subscriptions (per 100 people) (lag 4),Urban population (% of total population) (lag 5)
Antigua and Barbuda,1975,,,,,,,
Antigua and Barbuda,1976,,,,,,,
Antigua and Barbuda,1977,,,,,,,
Antigua and Barbuda,1978,,,,,,,
Antigua and Barbuda,1979,,,,,,0.0,
Antigua and Barbuda,1980,,,,,,0.0,34.217
Antigua and Barbuda,1981,,,,,,0.0,34.297
Antigua and Barbuda,1982,,,,,,0.0,34.377
Antigua and Barbuda,1983,,,,,,0.0,34.457
Antigua and Barbuda,1984,,,,40.0186388835787,,0.0,34.538
Antigua and Barbuda,1985,,,,38.0907905254744,,0.0,34.618
Antigua and Barbuda,1986,,,,29.0239286197107,,0.0,34.698
Antigua and Barbuda,1987,,,,28.7253558544702,,0.0,34.779
Antigua and Barbuda,1988,,,,32.5671923038778,,0.0,34.86
Antigua and Barbuda,1989,,,,30.6562812952042,,0.0,34.94
Antigua and Barbuda,1990,,,,36.0922879640947,,0.0,35.021
Antigua and Barbuda,1991,,,,32.1297912448509,,0.0,35.102
Antigua and Barbuda,1992,,,,33.1377324733511,,0.0,35.183
Antigua and Barbuda,1993,,,,32.1920707039273,,,35.264
Antigua and Barbuda,1994,,,,38.1980202248871,0.0,0.0,35.345
Antigua and Barbuda,1995,95.7630462646484,,,37.1335452098207,,,35.426
Antigua and Barbuda,1996,95.9406509399414,,,38.1350801529823,,,35.465
Antigua and Barbuda,1997,96.1181335449219,,,38.9245398345803,,,35.085
Antigua and Barbuda,1998,96.2949447631836,,,40.2052686853257,,,34.709
Antigua and Barbuda,1999,96.4703903198242,,,42.8200426018141,2.2,,34.334
Antigua and Barbuda,2000,96.643798828125,,,40.9439435310141,2.86,1.862517551,33.961
Antigua and Barbuda,2001,96.8144836425781,,,36.3718565570856,3.48,1.965795164,33.59
Antigua and Barbuda,2002,96.9817733764648,,,42.498797527717,4.07,2.066912859,33.221
Antigua and Barbuda,2003,97.1449813842773,,,46.3752181500873,5.3,11.51433874,32.855
Antigua and Barbuda,2004,97.303352355957,,,51.7939743602675,6.48,29.31183799,32.49
Antigua and Barbuda,2005,97.7,,,51.7407942373708,8.9,32.80194187,32.127
Antigua and Barbuda,2006,97.7,,,53.0170797334976,12.5,49.49154738,31.74
Antigua and Barbuda,2007,100.0,,,53.7983294194095,17.2,59.04654558,31.098
Antigua and Barbuda,2008,97.9,,,56.9244794854155,24.3,68.40551805,30.464
Antigua and Barbuda,2009,97.9,,,60.094779692894,27.0,107.67632,29.837
Antigua and Barbuda,2010,92.2,,,58.2779314548268,30.0,136.1958564,29.218
Antigua and Barbuda,2011,100.0,,,54.4307735618203,34.0,137.0232638,28.606
Antigua and Barbuda,2012,100.0,,,53.9388866040809,38.0,164.0725036,28.002
Antigua and Barbuda,2013,100.0,,,56.9801794532302,42.0,159.6103343,27.405
Antigua and Barbuda,2014,98.5,,,56.8700180042882,47.0,196.009102,26.818
Antigua and Barbuda,2015,98.7,,,58.6594013354386,52.0,202.940193,26.238
Antigua and Barbuda,2016,94.6,,39.0441980321724,65.7955601859272,58.0,145.2893674,25.703
Antigua and Barbuda,2017,100.0,,38.2742888637129,69.9722704826134,63.4,129.2224595,25.526
Antigua and Barbuda,2018,100.0,,36.0387416472708,68.0341136717723,67.8,134.5208212,25.35
Antigua and Barbuda,2019,100.0,,35.3914441183844,63.6323778532537,70.0,195.6860129,25.175
Antigua and Barbuda,2020,100.0,,34.8239937316811,61.2814888295866,71.0,198.754472,25.0
Antigua and Barbuda,2021,100.0,,31.4690316120727,56.0283278357383,72.0,201.933735,24.846
Antigua and Barbuda,2022,100.0,,29.6141696750902,48.6225959185356,73.0,,24.713
Antigua and Barbuda,2023,100.0,,26.4344148255329,47.0106186461537,74.0,199.7481436,24.599
Argentina,1975,,,,,,,
Argentina,1976,,,,,,,
Argentina,1977,,,,,,,
Argentina,1978,,,,,,,
