Country,Year,GDP growth (annual %),"Population, total",Gini index,"School enrollment, secondary (% gross)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),General government final consumption expenditure (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade Openness (% of GDP),"Inflation, consumer prices (annual %)",Rule of Law - estimate,Rule of Law - pctrank,Wealth,Gender Inequality Index,fi_index,Access to electricity (% of population) (lag 5),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+) (lag 5),"Commercial bank branches (per 100,000 adults) (lag 7)",Domestic credit to private sector (% of GDP) (lag 7),Individuals using the Internet (% of population) (lag 4),Mobile cellular subscriptions (per 100 people) (lag 4),Urban population (% of total population) (lag 5)
Mexico,1975,5.74448504862428,58982400,..,30.9640293121338,..,..,10.3175545454545,6.89445454545455,9.62009090909091,16.51454545454546,14.9445346409267,,,,,,,,,,,,
Mexico,1976,4.41744413626853,60645512,..,34.4195594787598,..,..,11.0077461706783,8.48983223924143,9.86724288840263,18.35707512764406,15.824722489347,,,,,,,,,,,,
Mexico,1977,3.39063970656844,62308493,..,36.9859580993652,..,..,10.760811249324,10.3190914007572,10.2221957815035,20.5412871822607,29.0641247103461,,,,,,,,,,,,
Mexico,1978,8.95694232786306,63979046,..,38.3508491516113,..,..,10.9198587933248,10.4709713307659,11.0397689345315,21.5107402652974,17.4572925678265,,,,,,,,,,,,
Mexico,1979,9.69817013704461,65648865,..,41.4212493896484,..,..,10.8968676662321,11.1891623207301,12.4509550195567,23.6401173402868,18.1912462987643,,,,,,,,,,,0.0,
Mexico,1980,8.75662242586424,67300334,..,43.9554405212402,..,..,9.51091719531118,10.1426200972023,12.2919995532194,22.434619650421702,26.3516513562834,,,,,,,,,,,0.0,62.759
Mexico,1981,9.58584115454994,68892108,..,47.4624214172363,..,..,10.2009527982723,9.86156842726433,12.2557065163291,22.11727494359343,27.9337625982399,,,,,,,,,,,0.0,63.491
Mexico,1982,-0.0495863656386035,70433260,..,52.3788185119629,..,..,9.85257669872132,14.4268658825073,9.70714773923614,24.134013621743442,58.9134198531048,,,,,,,,,,,0.0,64.215
Mexico,1983,-4.62412795987231,71971240,..,55.0481300354004,..,..,8.39115711126528,18.1150347501194,8.98106728574283,27.09610203586223,101.874938435992,,,,,,,,,,,0.0,64.934
Mexico,1984,3.51341334932273,73506846,..,57.0634384155273,..,..,8.80251316670849,16.5671428958152,9.10527444882818,25.672417344643378,65.4488071277602,,,,,,,,,,,0.0,65.646
Mexico,1985,1.91921578613494,75043414,..,57.4042701721191,..,..,8.7214630318366,14.5663148904797,9.76497749918627,24.33129238966597,57.7484484008702,,,,,,,,,,,0.0,66.339
Mexico,1986,-3.92995990782299,76585637,..,58.7873115539551,..,..,8.75656475980654,16.682179926956,12.9240426630228,29.6062225899788,86.2333169923538,,,,,,,,,,,0.0,66.87
Mexico,1987,2.06336322631584,78136651,..,58.9145088195801,..,..,8.35812828183434,18.5365670042589,12.7257538385261,31.262320842784998,131.82738392309,,,,,,,,,,,0.0,67.396
Mexico,1988,1.21826122938586,79695531,..,58.6317100524902,..,..,8.48490939682856,20.0960561464169,18.6942808014862,38.7903369479031,114.162258549066,,,,,,,,,,,0.0,67.919
Mexico,1989,3.62544873456009,81247182,50.1,57.9944000244141,8.7,23.5,8.32743339061301,19.1321993029959,19.1974507744512,38.3296500774471,20.0078767139978,,,,,,,,,,,0.0,68.437
Mexico,1990,5.25004329944582,82820170,..,56.6920013427734,..,..,8.430745096664,18.7044710491717,19.8152253641579,38.5196964133296,26.6516725646771,,,,,,,,,,,0.0,68.95
Mexico,1991,3.97590497138043,84430572,..,55.7629089355469,..,..,9.11590346275984,16.4333900336044,19.3531451238152,35.7865351574196,22.662359455061,,,,,,,,,,,0.0,69.459
Mexico,1992,3.56861354412243,86044809,52.3,55.768871307373,7.9,20.9,9.94287452110455,15.256744442975,20.296751461137,35.553495904112,15.5078962533573,,,,,,,,,,,0.001901333,69.963
Mexico,1993,2.86699945461075,87653807,..,56.3448104858398,..,..,8.57734983277767,11.5959846826597,14.5671388751711,26.1631235578308,9.75146045357553,,,,,,,,,,,0.010594046,70.462
Mexico,1994,4.39412788764169,89259205,53.4,57.8301391601562,7.9,21.7,8.97501349673226,12.7545957125272,16.403876421631,29.158472134158202,6.96581237191123,,,,,,,,,,0.0,0.078225239,70.956
Mexico,1995,-5.91029962358286,90862455,..,60.0490493774414,..,..,8.04099372436735,22.8659269211958,20.7999048051439,43.665831726339704,34.9992712889592,,,0.661,,,,,,,0.00588,0.193035298,71.419
Mexico,1996,6.21829715869302,92452702,52,62.5155296325684,14,32.1,7.66513804599418,24.7231319521416,23.0446915817651,47.7678235339067,34.3783832235168,-0.726646363735199,27.1356792449951,0.6608,,,,,,,0.0173,0.367849584,71.816
Mexico,1997,7.19887615284711,94021207,..,64.7584991455078,..,..,7.85051211515208,23.2555721469271,23.2363034246464,46.4918755715735,20.6256287259247,,,0.6608,,,93.145981,,,,0.0283,0.445630607,72.209
Mexico,1998,6.18507893082885,95575245,53.3,68.1834182739258,15.2,30.6,8.03111070015044,23.221749395164,24.8101347448538,48.0318841400178,15.9283950119353,-0.532132267951965,35,0.661,,,95.4484634399414,,,,0.0433,0.644573077,72.598
Mexico,1999,2.75503039300564,97115707,..,69.9513168334961,..,..,8.68918618690726,23.4168592490374,24.5953903270731,48.012249576110506,16.5856169707538,,,0.6609,,,95.238294,,,,0.103,0.765273175,72.985
Mexico,2000,5.02928399378261,98625552,53.4,71.1195831298828,10.7,23.6,9.03701601574593,24.2311734715837,25.6792357227792,49.9104091943629,9.49156149435403,-0.42650955915451,37.8109436035156,0.6609,,,95.8944625854492,,,,0.2,1.115775127,73.368
Mexico,2001,-0.450845253215945,100099099,..,72.8832092285156,..,..,9.35531059664665,21.5412102021393,23.1988988041623,44.7401090063016,6.36773806235037,,,0.661,,,96.093624,,,,0.627,1.868165056,73.67
Mexico,2002,-0.236588001922641,101548624,50.6,75.1482925415039,7.5,20.6,9.83812245672762,21.851761920846,23.3580673330305,45.2098292538765,5.03072733151295,-0.349208414554596,40.7960205078125,0.6609,,,96.3295822143555,,,,1.27,3.534421225,73.929
Mexico,2003,1.18554486709559,102978515,..,78.5541915893555,..,..,10.4980403682373,23.6555935090553,25.0448233717828,48.700416880838105,4.54690012118718,-0.377902716398239,42.2885589599609,0.6878000000000001,,0.2929348815955633,96.092755,22.193333333333335,8.70660373379097,20.3129090763085,1.86,8.02579566,74.186
Mexico,2004,3.56544100946846,104394131,50.3,79.7827072143555,7.2,17.7,10.0161818460585,25.1033560080055,26.9372640255577,52.0406200335632,4.68840884843143,-0.409910470247269,40.8653831481934,0.7010000000000001,,0.2929348815955633,96.7482986450195,22.193333333333335,8.706603733790969,20.3129090763085,5.08,14.38375898,74.441
Mexico,2005,2.11324712586392,105811504,50.9,80.6305389404297,7.8,17.8,10.0762299851121,25.4870738285114,27.0755708232772,52.5626446517886,3.98805714597437,-0.382989525794983,41.1483268737793,0.6994,,0.3025800367270634,98.0,22.193333333333335,8.706603733790969,17.9317776437342,7.04,21.89015027,74.722
Mexico,2006,4.80501352746852,107253666,49.7,82.7013931274414,5.4,15,9.89214269664029,26.5547481705759,27.927367918041,54.4821160886169,3.62946762439132,-0.472546279430389,40.1913871765137,0.6977,,0.3276698841670057,97.1,22.19333333333333,8.70660373379097,15.5385350011939,11.9,25.69264365,75.045
