Country,Year,gdpgrowth,gini,wealth,gii,ruleoflaw,lnpovhead215,lngovt,lntradeopen,fii,lninflation,lnenrollment,electricity_lag5,account_ownership_lag5,bank_branches_lag7,domestic_credit_lag7,internet_users_lag4,mobile_subscriptions_lag4,urban_population_lag5
Mexico,2003,1.18554486709559,50.3,0.6878000000000001,0.435,-0.377902716398239,2.1041341542702074,2.4421766180870303,3.9060133210118333,0.2929348815955633,1.7132392349955718,4.376438444650915,96.092755,28.630000000000003,10.192834737113252,20.3129090763085,1.86,8.02579566,74.186
Mexico,2004,3.56544100946846,50.3,0.7010000000000001,0.433,-0.409910470247269,2.1041341542702074,2.399365268739136,3.9710580357331717,0.2929348815955633,1.7384305690372093,4.391762922997269,96.7482986450195,28.630000000000003,10.192834737113252,20.3129090763085,5.08,14.38375898,74.441
Mexico,2005,2.11324712586392,50.9,0.6994,0.425,-0.382989525794983,2.174751721484161,2.4048013693683394,3.9808518969711755,0.3025800367270634,1.607046484443095,4.4022034436763064,98.0,28.63,10.192834737113252,17.9317776437342,7.04,21.89015027,74.722
Mexico,2006,4.80501352746852,49.7,0.6977,0.43,-0.472546279430389,1.8562979903656263,2.388041675776034,4.0160607361867635,0.3276698841670057,1.5324418775542232,4.427255621651317,97.1,28.63,10.192834737113252,15.5385350011939,11.9,25.69264365,75.045
Mexico,2007,2.07786393438754,50.25,0.7068,0.43,-0.542932212352753,1.9011040697104697,2.393147002466889,4.029957574392997,0.3574761592780702,1.602785646008184,4.443694323720794,97.9,28.63,10.192834737113252,14.3477809538876,12.9,29.3838657,75.365
Mexico,2008,0.943331863036903,50.8,0.7114,0.433,-0.689283549785614,1.9459101490553132,2.421188902926027,4.0494392751457235,0.4321229209914538,1.8123759394078776,4.466784851500523,97.4,28.629999999999995,10.192834737113252,12.240977231732,14.1,36.99151884,75.682
Mexico,2009,-6.29525055780502,49.25,0.7090000000000001,0.415,-0.56286883354187,1.843188161947909,2.5163604077057102,4.01803466740849,0.4378577725915112,1.840129837722367,4.465244930717562,98.6,28.630000000000003,11.1570229308629,14.1782625347913,17.2,44.69619916,75.997
Mexico,2010,4.9713345832195,47.7,0.7076,0.418,-0.552031338214874,1.7404661748405046,2.5074803462919406,4.098890622038801,0.4701583325580405,1.6403021198947834,4.480433450522575,98.9,28.63,11.1570229308629,14.6412754628782,19.5,51.82629303,76.308
Mexico,2011,3.44404505794418,48.650000000000006,0.7128,0.414,-0.549887716770172,1.6945624002139432,2.5118930752419706,4.145708985957021,0.4384225979446324,1.483280010644558,4.492897937084497,99.1,28.629999999999995,11.1570229308629,14.1054932641584,20.8,61.45672658,76.616
Mexico,2012,3.55321075993527,49.6,0.7138,0.391,-0.53518009185791,1.6486586255873816,2.5216143150006407,4.17834760034754,0.4607049914870267,1.631494822552401,4.518452788775781,97.9,28.63,11.1948442315992,15.3135908131833,21.7,68.65461989,76.92
Mexico,2013,0.852101559410627,49.25,0.7145,0.39,-0.549416422843933,1.6290482690107408,2.5426040171966022,4.154053859744578,0.4600646153536499,1.5699464276996873,4.5460813877078365,98.9,28.63,11.5524409995789,18.3518916727969,26.3,74.91580596,77.222
Mexico,2014,2.50376350288664,48.9,0.7143,0.388,-0.406688004732132,1.6094379124341003,2.545836551619216,4.175900110131277,0.4572027200722147,1.6131542145784437,4.588224280647831,98.3,27.43,12.745846124186,20.4394698049344,31.1,81.2063834,77.52
