Country,Year,GDP growth (annual %),"Population, total",Gini index,"School enrollment, secondary (% gross)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),General government final consumption expenditure (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade Openness (% of GDP),"Inflation, consumer prices (annual %)",Rule of Law - estimate,Rule of Law - pctrank,Inequality Index
Mexico,1975,5.74448504862428,58982400,..,30.9640293121338,..,..,10.3175545454545,6.89445454545455,9.62009090909091,16.51454545454546,14.9445346409267,,,
Mexico,1976,4.41744413626853,60645512,..,34.4195594787598,..,..,11.0077461706783,8.48983223924143,9.86724288840263,18.35707512764406,15.824722489347,,,
Mexico,1977,3.39063970656844,62308493,..,36.9859580993652,..,..,10.760811249324,10.3190914007572,10.2221957815035,20.5412871822607,29.0641247103461,,,
Mexico,1978,8.95694232786306,63979046,..,38.3508491516113,..,..,10.9198587933248,10.4709713307659,11.0397689345315,21.5107402652974,17.4572925678265,,,
Mexico,1979,9.69817013704461,65648865,..,41.4212493896484,..,..,10.8968676662321,11.1891623207301,12.4509550195567,23.6401173402868,18.1912462987643,,,
Mexico,1980,8.75662242586424,67300334,..,43.9554405212402,..,..,9.51091719531118,10.1426200972023,12.2919995532194,22.434619650421702,26.3516513562834,,,
Mexico,1981,9.58584115454994,68892108,..,47.4624214172363,..,..,10.2009527982723,9.86156842726433,12.2557065163291,22.11727494359343,27.9337625982399,,,
Mexico,1982,-0.0495863656386035,70433260,..,52.3788185119629,..,..,9.85257669872132,14.4268658825073,9.70714773923614,24.134013621743442,58.9134198531048,,,
Mexico,1983,-4.62412795987231,71971240,..,55.0481300354004,..,..,8.39115711126528,18.1150347501194,8.98106728574283,27.09610203586223,101.874938435992,,,
Mexico,1984,3.51341334932273,73506846,..,57.0634384155273,..,..,8.80251316670849,16.5671428958152,9.10527444882818,25.672417344643378,65.4488071277602,,,
Mexico,1985,1.91921578613494,75043414,..,57.4042701721191,..,..,8.7214630318366,14.5663148904797,9.76497749918627,24.33129238966597,57.7484484008702,,,
Mexico,1986,-3.92995990782299,76585637,..,58.7873115539551,..,..,8.75656475980654,16.682179926956,12.9240426630228,29.6062225899788,86.2333169923538,,,
Mexico,1987,2.06336322631584,78136651,..,58.9145088195801,..,..,8.35812828183434,18.5365670042589,12.7257538385261,31.262320842784998,131.82738392309,,,
Mexico,1988,1.21826122938586,79695531,..,58.6317100524902,..,..,8.48490939682856,20.0960561464169,18.6942808014862,38.7903369479031,114.162258549066,,,
Mexico,1989,3.62544873456009,81247182,50.1,57.9944000244141,8.7,23.5,8.32743339061301,19.1321993029959,19.1974507744512,38.3296500774471,20.0078767139978,,,
Mexico,1990,5.25004329944582,82820170,..,56.6920013427734,..,..,8.430745096664,18.7044710491717,19.8152253641579,38.5196964133296,26.6516725646771,,,
Mexico,1991,3.97590497138043,84430572,..,55.7629089355469,..,..,9.11590346275984,16.4333900336044,19.3531451238152,35.7865351574196,22.662359455061,,,
Mexico,1992,3.56861354412243,86044809,52.3,55.768871307373,7.9,20.9,9.94287452110455,15.256744442975,20.296751461137,35.553495904112,15.5078962533573,,,
Mexico,1993,2.86699945461075,87653807,..,56.3448104858398,..,..,8.57734983277767,11.5959846826597,14.5671388751711,26.1631235578308,9.75146045357553,,,
Mexico,1994,4.39412788764169,89259205,53.4,57.8301391601562,7.9,21.7,8.97501349673226,12.7545957125272,16.403876421631,29.158472134158202,6.96581237191123,,,
Mexico,1995,-5.91029962358286,90862455,..,60.0490493774414,..,..,8.04099372436735,22.8659269211958,20.7999048051439,43.665831726339704,34.9992712889592,,,
Mexico,1996,6.21829715869302,92452702,52,62.5155296325684,14,32.1,7.66513804599418,24.7231319521416,23.0446915817651,47.7678235339067,34.3783832235168,-0.726646363735199,27.1356792449951,
Mexico,1997,7.19887615284711,94021207,..,64.7584991455078,..,..,7.85051211515208,23.2555721469271,23.2363034246464,46.4918755715735,20.6256287259247,,,
Mexico,1998,6.18507893082885,95575245,53.3,68.1834182739258,15.2,30.6,8.03111070015044,23.221749395164,24.8101347448538,48.0318841400178,15.9283950119353,-0.532132267951965,35,
Mexico,1999,2.75503039300564,97115707,..,69.9513168334961,..,..,8.68918618690726,23.4168592490374,24.5953903270731,48.012249576110506,16.5856169707538,,,
Mexico,2000,5.02928399378261,98625552,53.4,71.1195831298828,10.7,23.6,9.03701601574593,24.2311734715837,25.6792357227792,49.9104091943629,9.49156149435403,-0.42650955915451,37.8109436035156,
Mexico,2001,-0.450845253215945,100099099,..,72.8832092285156,..,..,9.35531059664665,21.5412102021393,23.1988988041623,44.7401090063016,6.36773806235037,,,
Mexico,2002,-0.236588001922641,101548624,50.6,75.1482925415039,7.5,20.6,9.83812245672762,21.851761920846,23.3580673330305,45.2098292538765,5.03072733151295,-0.349208414554596,40.7960205078125,
Mexico,2003,1.18554486709559,102978515,..,78.5541915893555,..,..,10.4980403682373,23.6555935090553,25.0448233717828,48.700416880838105,4.54690012118718,-0.377902716398239,42.2885589599609,
Mexico,2004,3.56544100946846,104394131,50.3,79.7827072143555,7.2,17.7,10.0161818460585,25.1033560080055,26.9372640255577,52.0406200335632,4.68840884843143,-0.409910470247269,40.8653831481934,
Mexico,2005,2.11324712586392,105811504,50.9,80.6305389404297,7.8,17.8,10.0762299851121,25.4870738285114,27.0755708232772,52.5626446517886,3.98805714597437,-0.382989525794983,41.1483268737793,
Mexico,2006,4.80501352746852,107253666,49.7,82.7013931274414,5.4,15,9.89214269664029,26.5547481705759,27.927367918041,54.4821160886169,3.62946762439132,-0.472546279430389,40.1913871765137,
Mexico,2007,2.07786393438754,108774360,..,84.0887069702148,..,..,9.94789283371053,26.7810613279257,28.4774630665241,55.25852439444979,3.96684905458235,-0.542932212352753,35.8851661682129,
Mexico,2008,0.943331863036903,110374288,50.8,86.0763092041016,6,16.6,10.2592375010335,27.0200612345202,29.3452206517371,56.3652818862573,5.12498274575896,-0.689283549785614,28.8461532592773,
Mexico,2009,-6.29525055780502,111999721,..,85.9423217773438,..,..,11.3834438576777,26.5132697232887,28.0784724080616,54.5917421313503,5.29735584228856,-0.56286883354187,35.0710906982422,
Mexico,2010,4.9713345832195,113623895,47.7,87.2729263305664,4.7,14.3,11.2739649249476,29.0174601154993,30.2559244138859,59.2733845293852,4.15672722680174,-0.552031338214874,35.5450248718262,
Mexico,2011,3.44404505794418,115243504,..,88.3800888061523,..,..,11.3282462816794,30.4429662274867,31.7194210489631,62.1623872764498,3.40737824605742,-0.549887716770172,34.2723007202148,
Mexico,2012,3.55321075993527,116818208,49.6,90.6936187744141,4.2,13.5,11.4486765368681,31.539450391413,32.7184814985984,64.2579318900114,4.11150981070289,-0.53518009185791,38.0281677246094,
Mexico,2013,0.852101559410627,118343573,..,93.2623062133789,..,..,11.7127320792546,30.755800584349,31.9358741892317,62.6916747735807,3.80639069747204,-0.549416422843933,35.2112693786621,
Mexico,2014,2.50376350288664,119784261,48.9,97.3196868896484,4,13.1,11.7538929143727,31.462992199988,32.6354168351336,64.09840903512159,4.01861608078679,-0.406688004732132,39.4230766296387,
Mexico,2015,2.70232342550646,121072306,..,100.982269287109,..,..,11.901246126141,34.1627726873238,36.2502019889402,70.412974676264,2.72064064964023,-0.454765856266022,39.0476188659668,
Mexico,2016,1.77249323845399,122251351,46.9,102.871368408203,2.3,8.9,11.5736804911904,36.8156772514808,38.8746261573743,75.6903034088551,2.8217078474766,-0.579800665378571,30.9523811340332,
