codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
AFGcc1996;AFG;Afghanistan;1996;cc;-1.29170477390289;0.340506970882416;2;4.30107545852661;0;27.4193553924561
ALBcc1996;ALB;Albania;1996;cc;-0.893903493881226;0.315914034843445;3;19.3548393249512;2.68817210197449;43.0107536315918
DZAcc1996;DZA;Algeria;1996;cc;-0.566740930080414;0.262076586484909;4;33.3333320617676;16.6666660308838;52.6881713867187
ASMcc1996;ASM;American Samoa;1996;cc;..;..;..;..;..;..
ADOcc1996;ADO;Andorra;1996;cc;1.31814324855804;0.480888694524765;1;87.0967712402344;72.0430145263672;96.7741928100586
AGOcc1996;AGO;Angola;1996;cc;-1.1677018404007;0.262076586484909;4;9.67741966247559;0.537634432315826;27.4193553924561
AIAcc1996;AIA;Anguilla;1996;cc;..;..;..;..;..;..
ATGcc1996;ATG;Antigua and Barbuda;1996;cc;0.869897186756134;0.480888694524765;1;80.1075286865234;59.1397857666016;91.3978500366211
ARGcc1996;ARG;Argentina;1996;cc;-0.101317152380943;0.210325092077255;6;53.7634391784668;38.7096786499023;62.9032249450684
ARMcc1996;ARM;Armenia;1996;cc;-0.473051309585571;0.340506970882416;2;38.1720428466797;15.0537633895874;59.1397857666016
ABWcc1996;ABW;Aruba;1996;cc;..;..;..;..;..;..
AUScc1996;AUS;Australia;1996;cc;1.8773558139801;0.210325092077255;6;93.5483856201172;90.3225784301758;99.4623641967773
AUTcc1996;AUT;Austria;1996;cc;1.73216354846954;0.210325092077255;6;92.4731216430664;89.247314453125;96.2365570068359
AZEcc1996;AZE;Azerbaijan;1996;cc;-1.44561946392059;0.275613814592361;3;2.68817210197449;0;17.2043018341064
BHScc1996;BHS;Bahamas, The;1996;cc;1.1568101644516;0.418145000934601;2;83.870964050293;69.8924713134766;93.0107498168945
BHRcc1996;BHR;Bahrain;1996;cc;0.328688681125641;0.312212377786636;3;63.9784927368164;50.5376358032227;77.4193572998047
BGDcc1996;BGD;Bangladesh;1996;cc;-0.969682216644287;0.262076586484909;4;17.7419357299805;2.68817210197449;34.9462356567383
BRBcc1996;BRB;Barbados;1996;cc;1.54272639751434;0.340506970882416;2;90.8602142333984;81.1827926635742;96.7741928100586
BLRcc1996;BLR;Belarus;1996;cc;-0.389609158039093;0.340506970882416;2;42.4731178283691;17.7419357299805;60.7526893615723
BELcc1996;BEL;Belgium;1996;cc;1.35965430736542;0.210325092077255;6;88.7096786499023;81.1827926635742;91.3978500366211
BLZcc1996;BLZ;Belize;1996;cc;-0.0265951305627823;0.480888694524765;1;56.4516143798828;25.2688179016113;76.3440856933594
BENcc1996;BEN;Benin;1996;cc;-0.548114895820618;0.340506970882416;2;34.9462356567383;13.4408597946167;57.5268821716309
BMUcc1996;BMU;Bermuda;1996;cc;1.31814324855804;0.480888694524765;1;87.0967712402344;72.0430145263672;96.7741928100586
BTNcc1996;BTN;Bhutan;1996;cc;0.942838490009308;0.340506970882416;2;81.1827926635742;66.129035949707;90.3225784301758
BOLcc1996;BOL;Bolivia;1996;cc;-0.8248291015625;0.262076586484909;4;25.2688179016113;6.45161294937134;41.9354820251465
BIHcc1996;BIH;Bosnia and Herzegovina;1996;cc;-0.270569711923599;0.275613814592361;3;48.924732208252;28.4946231842041;60.7526893615723
BWAcc1996;BWA;Botswana;1996;cc;0.8179612159729;0.262076586484909;4;77.4193572998047;66.129035949707;84.9462356567383
BRAcc1996;BRA;Brazil;1996;cc;-0.0185795314610004;0.210325092077255;6;56.9892463684082;44.0860214233398;63.440860748291
BRNcc1996;BRN;Brunei Darussalam;1996;cc;0.478994995355606;0.418145000934601;2;71.5053787231445;49.4623641967773;83.870964050293
BGRcc1996;BGR;Bulgaria;1996;cc;-0.361505150794983;0.262076586484909;4;44.6236572265625;25.2688179016113;59.1397857666016
BFAcc1996;BFA;Burkina Faso;1996;cc;0.11151909083128;0.315914034843445;3;60.2150535583496;41.3978500366211;73.118278503418
BDIcc1996;BDI;Burundi;1996;cc;-0.68063485622406;0.340506970882416;2;30.6451606750488;6.98924732208252;52.6881713867187
KHMcc1996;KHM;Cambodia;1996;cc;-1.01984238624573;0.275613814592361;3;16.1290321350098;2.15053772926331;32.7957000732422
CMRcc1996;CMR;Cameroon;1996;cc;-1.33498477935791;0.262076586484909;4;3.76344084739685;0;18.8172035217285
CANcc1996;CAN;Canada;1996;cc;2.03140759468079;0.210325092077255;6;96.2365570068359;91.3978500366211;100
CPVcc1996;CPV;Cape Verde;1996;cc;1.14333736896515;0.439479857683182;1;83.3333358764648;69.3548355102539;93.0107498168945
CYMcc1996;CYM;Cayman Islands;1996;cc;1.31814324855804;0.480888694524765;1;87.0967712402344;72.0430145263672;96.7741928100586
CAFcc1996;CAF;Central African Republic;1996;cc;-1.14093124866486;0.340506970882416;2;11.290322303772;0;32.2580642700195
TCDcc1996;TCD;Chad;1996;cc;-1.38042390346527;0.340506970882416;2;3.22580647468567;0;25.2688179016113
CHLcc1996;CHL;Chile;1996;cc;1.4541187286377;0.210325092077255;6;90.3225784301758;81.1827926635742;93.0107498168945
CHNcc1996;CHN;China;1996;cc;-0.271189510822296;0.188621625304222;7;48.3870964050293;32.2580642700195;58.6021499633789
COLcc1996;COL;Colombia;1996;cc;-0.512254357337952;0.210325092077255;6;36.559139251709;23.1182804107666;50.5376358032227
COMcc1996;COM;Comoros;1996;cc;-0.998565018177032;0.340506970882416;2;16.6666660308838;0.537634432315826;39.2473106384277
ZARcc1996;ZAR;Congo, Dem. Rep.;1996;cc;-1.64785194396973;0.315914034843445;3;0;0;12.3655910491943
COGcc1996;COG;Congo, Rep.;1996;cc;-0.860740303993225;0.315914034843445;3;23.1182804107666;3.22580647468567;45.6989250183105
COKcc1996;COK;Cook Islands;1996;cc;..;..;..;..;..;..
CRIcc1996;CRI;Costa Rica;1996;cc;0.696142435073853;0.244906529784203;5;75.2688140869141;63.440860748291;81.1827926635742
HRVcc1996;HRV;Croatia;1996;cc;-0.578690052032471;0.275613814592361;3;32.7957000732422;15.0537633895874;52.6881713867187
CUBcc1996;CUB;Cuba;1996;cc;0.289152532815933;0.262076586484909;4;63.440860748291;52.1505393981934;75.8064498901367
CYPcc1996;CYP;Cyprus;1996;cc;1.33128821849823;0.262076586484909;4;87.634407043457;80.6451644897461;93.0107498168945
CZEcc1996;CZE;Czech Republic;1996;cc;0.683219373226166;0.210325092077255;6;74.7311859130859;63.9784927368164;81.1827926635742
CIVcc1996;CIV;Côte d'Ivoire;1996;cc;-0.260566830635071;0.262076586484909;4;49.4623641967773;29.5698928833008;60.7526893615723
DNKcc1996;DNK;Denmark;1996;cc;2.23130798339844;0.210325092077255;6;100;93.5483856201172;100
DJIcc1996;DJI;Djibouti;1996;cc;-0.719981253147125;0.340506970882416;2;29.0322589874268;4.83870983123779;51.075267791748
DMAcc1996;DMA;Dominica;1996;cc;0.869897186756134;0.480888694524765;1;80.1075286865234;59.1397857666016;91.3978500366211
DOMcc1996;DOM;Dominican Republic;1996;cc;-0.422995418310165;0.262076586484909;4;41.3978500366211;23.6559143066406;57.5268821716309
ECUcc1996;ECU;Ecuador;1996;cc;-0.684873819351196;0.262076586484909;4;30.1075267791748;12.9032258987427;49.4623641967773
EGYcc1996;EGY;Egypt, Arab Rep.;1996;cc;-0.472254395484924;0.244906529784203;5;38.7096786499023;19.8924732208252;53.7634391784668
SLVcc1996;SLV;El Salvador;1996;cc;-0.865277528762817;0.244906529784203;5;21.5053768157959;5.91397857666016;38.7096786499023
GNQcc1996;GNQ;Equatorial Guinea;1996;cc;-1.26436936855316;0.275613814592361;3;6.45161294937134;0;25.2688179016113
ERIcc1996;ERI;Eritrea;1996;cc;0.505685269832611;0.340506970882416;2;72.0430145263672;54.3010749816895;81.1827926635742
ESTcc1996;EST;Estonia;1996;cc;0.449222981929779;0.275613814592361;3;69.8924713134766;57.5268821716309;80.6451644897461
SWZcc1996;SWZ;Eswatini;1996;cc;0.0373140871524811;0.340506970882416;2;58.6021499633789;35.4838714599609;73.118278503418
ETHcc1996;ETH;Ethiopia;1996;cc;-0.9305459856987;0.262076586484909;4;18.8172035217285;3.22580647468567;36.559139251709
