Percentile;Year;Venezuela;Mexico;Peru;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Dominican Republic;Panama;Cuba;Paraguay;Uruguay;Haiti;Puerto Rico;Argentina;Bolivia;Brazil;Chile;Colombia;Ecuador;Guyana;Suriname
p90p100;1995;0.6672;0.661;0.6649;0.6661;0.647;0.6268;0.6683;0.6663;0.6665;0.6592;0.6684;0.624;0.6671;0.7778;0.6667000000000001;0.6713;0.6186;0.666;0.6941;0.7078;0.7100000000000001;0.6552;0.6677000000000001;0.6678000000000001
p90p100;1996;0.6678000000000001;0.6608;0.665;0.6661;0.6473;0.6267;0.6675;0.6679;0.6666000000000001;0.6588;0.666;0.624;0.6672;0.7778;0.6675;0.6696000000000001;0.6186;0.6665;0.6941;0.7077;0.7099000000000001;0.6562;0.667;0.6675
p90p100;1997;0.6666000000000001;0.6608;0.665;0.6679;0.6469;0.6268;0.6681;0.6676000000000001;0.6663;0.6587000000000001;0.6666000000000001;0.6273000000000001;0.6672;0.7778;0.6673;0.6656000000000001;0.6186;0.6662;0.6941;0.7078;0.7100000000000001;0.6567000000000001;0.6676000000000001;0.6669
p90p100;1998;0.6677000000000001;0.661;0.6649;0.6683;0.6473;0.6269;0.668;0.6664;0.668;0.6589;0.6683;0.624;0.6671;0.7778;0.6676000000000001;0.664;0.6187;0.6679;0.6940000000000001;0.7078;0.7100000000000001;0.6552;0.6669;0.6674
p90p100;1999;0.6678000000000001;0.6609;0.665;0.6667000000000001;0.6471;0.6268;0.6681;0.6665;0.6681;0.6589;0.6682;0.6239;0.667;0.7778;0.6668000000000001;0.663;0.6186;0.6683;0.6941;0.7077;0.7099000000000001;0.6552;0.6676000000000001;0.6674
p90p100;2000;0.6677000000000001;0.6609;0.665;0.666;0.6472;0.6268;0.6682;0.6669;0.668;0.6592;0.6661;0.624;0.6672;0.7778;0.6671;0.6622;0.6186;0.6663;0.6942;0.7077;0.7098;0.6552;0.6674;0.6667000000000001
p90p100;2001;0.682;0.661;0.7084;0.6819000000000001;0.647;0.6268;0.6822;0.6822;0.682;0.6588;0.6823;0.6325000000000001;0.6821;0.792;0.6821;0.6598;0.6288;0.6819000000000001;0.6942;0.7062;0.7099000000000001;0.6553;0.682;0.682
p90p100;2002;0.6811;0.6609;0.7075;0.6809000000000001;0.6472;0.6275000000000001;0.681;0.6813;0.6813;0.6591;0.6813;0.6308;0.6812;0.7862;0.6812;0.6575000000000001;0.6354000000000001;0.681;0.6989000000000001;0.7046;0.7098;0.6456000000000001;0.6811;0.6812
p90p100;2003;0.6791;0.6878000000000001;0.7139;0.6789000000000001;0.6473;0.619;0.6792;0.679;0.6789000000000001;0.6588;0.6789000000000001;0.625;0.6791;0.7954;0.6792;0.656;0.6136;0.6788000000000001;0.6962;0.7023;0.7046;0.6387;0.6791;0.679
p90p100;2004;0.6745;0.7010000000000001;0.7018;0.6744;0.6471;0.6232;0.6745;0.6742;0.6743;0.6591;0.6741;0.6177;0.6744;0.7894;0.6744;0.6545000000000001;0.6031000000000001;0.6745;0.6912;0.7057;0.7085;0.6338;0.6742;0.6742
